Stamnummer,Thuisploeg,Uitploeg
238,Union Sportive d'Auvelais,Union Sportive d'Auvelais
244,Olympic Charleroi Châtelet Farciennes,Olympic Charleroi Châtelet Farciennes
267,KFC Roeselare,KFC Roeselare
290,KRC Genk,KRC Genk
294,KVK Beringen,KVK Beringen
299,RUC Verviétoise,RUC Verviétoise
304,Hooger Op Leuven,Hooger Op Leuven
322,Sint-Truidense VV,Sint-Truidense VV
331,RAS Anderlecht-Veeweyde,RAS Anderlecht-Veeweyde
396,Beringen FC,Beringen FC
408,FC Waereghem Sportief,FC Waereghem Sportief
410,Waterschei SV Thor Genk,Waterschei SV Thor Genk
436,CS Tubizien,CS Tubizien
458,Racing Club de Waterloo,Racing Club de Waterloo
469,La Royale Union Sambrevilloise,La Royale Union Sambrevilloise
480,Standaard Football Club Beveren-Waes,Standaard Football Club Beveren-Waes
531,Daring Club Ruddervoorde,Daring Club Ruddervoorde
537,Union Sportive Schaerbeekois,Union Sportive Schaerbeekois
538,Union Sportive Dergneau,Union Sportive Dergneau
544,Union Sportive Tirlemontoise,Union Sportive Tirlemontoise
547,Union Sportive Lambusart,Union Sportive Lambusart
560,Union Sportive Rossart,Union Sportive Rossart
564,Léopold Club Bouge,Léopold Club Bouge
565,Racing Club Herseautois,Racing Club Herseautois
574,Union Sportive Framerisoise,Union Sportive Framerisoise
614,Racing Club Alostois,Racing Club Alostois
617,F.C. Cheminots P.T.T. Charleroi,F.C. Cheminots P.T.T. Charleroi
618,Racing Club Hemptinne,Racing Club Hemptinne
621,Cook's Antwerp Football Club,Cook's Antwerp Football Club
628,Club Sportif T.E.P. Charleroi,Club Sportif T.E.P. Charleroi
633,Union Sportive St-Adrien Bruxelles,Union Sportive St-Adrien Bruxelles
642,Football Club De Eikelaer Kortrijk,Football Club De Eikelaer Kortrijk
652,F.C. Olympia Oostende,F.C. Olympia Oostende
654,Sporting Club du Nord,Sporting Club du Nord
657,Daring Club Bousval,Daring Club Bousval
661,Union Sportive Heinsch,Union Sportive Heinsch
663,Groupement Corporatif du Bassin de Charleroi,Groupement Corporatif du Bassin de Charleroi
727,KFC Lint,KFC Lint
745,Union Saint-Georges de Sinsin-Waillet,Union Saint-Georges de Sinsin-Waillet
788,Union Saint-Ghislain Tertre-Hautrage,Union Saint-Ghislain Tertre-Hautrage
801,Standaard FC Lokeren,Standaard FC Lokeren
839,RWDM Brussels FC,RWDM Brussels FC
855,KFC Lommel SK,KFC Lommel SK
867,KVC Westerlo,KVC Westerlo
870,SK Westerlo,SK Westerlo
