tf_match_id,seizoen,seizoen_alternatief,datum,datum_key,tijdstip,tf_clubid_thuis,tf_clubnaam_thuis,stamnummer_thuis,roepnaam_thuis,tf_clubid_uit,tf_clubnaam_uit,stamnummer_uit,roepnaam_uit,stand_thuis,stand_uit,type
1091789,2010,10/11,2011-04-03,20110403,20:00,58,RSC Anderlecht,35,RSC Anderlecht,3057,Standard Luik,16,Standard Luik,1,3,Playoff_1
1092581,2010,10/11,2011-04-08,20110408,20:30,204,Lierse SK,30,Lierse SK,354,KV Mechelen,25,KV Mechelen,1,2,Playoff_2
1092995,2010,10/11,2011-04-09,20110409,20:00,498,KSC Lokeren,282,KSC Lokeren,157,KAA Gent,7,KAA Gent,1,1,Playoff_1
1092583,2010,10/11,2011-04-09,20110409,20:00,601,KV Kortrijk,19,KV Kortrijk,566,Germ. Beerschot,3530,Germinal,1,1,Playoff_2
1092582,2010,10/11,2011-04-09,20110409,20:00,475,St-Truidense VV,373,Sint-Truidense VV,520,Cercle Brugge,12,Cercle Brugge,1,1,Playoff_2
1092997,2010,10/11,2011-04-10,20110410,20:30,3057,Standard Luik,16,Standard Luik,1184,KRC Genk,322,KRC Genk,2,1,Playoff_1
1092996,2010,10/11,2011-04-10,20110410,18:00,2282,Club Brugge,3,Club Brugge,58,RSC Anderlecht,35,RSC Anderlecht,3,0,Playoff_1
1092584,2010,10/11,2011-04-10,20110410,20:30,3508,Zulte Waregem,5381,SV Zulte Waregem,968,KVC Westerlo,2024,KVC Westerlo,1,1,Playoff_2
1093509,2010,10/11,2011-04-15,20110415,20:30,58,RSC Anderlecht,35,RSC Anderlecht,1184,KRC Genk,322,KRC Genk,2,0,Playoff_1
1093510,2010,10/11,2011-04-16,20110416,18:00,157,KAA Gent,7,KAA Gent,3057,Standard Luik,16,Standard Luik,1,3,Playoff_1
1093515,2010,10/11,2011-04-16,20110416,20:00,601,KV Kortrijk,19,KV Kortrijk,3508,Zulte Waregem,5381,SV Zulte Waregem,0,1,Playoff_2
1093513,2010,10/11,2011-04-16,20110416,20:00,566,Germ. Beerschot,3530,Germinal,968,KVC Westerlo,2024,KVC Westerlo,3,3,Playoff_2
1093514,2010,10/11,2011-04-16,20110416,20:00,475,St-Truidense VV,373,Sint-Truidense VV,204,Lierse SK,30,Lierse SK,1,2,Playoff_2
1093516,2010,10/11,2011-04-16,20110416,20:00,354,KV Mechelen,25,KV Mechelen,520,Cercle Brugge,12,Cercle Brugge,0,0,Playoff_2
1093511,2010,10/11,2011-04-17,20110417,20:30,2282,Club Brugge,3,Club Brugge,498,KSC Lokeren,282,KSC Lokeren,0,0,Playoff_1
1097308,2010,10/11,2011-04-20,20110420,20:30,1184,KRC Genk,322,KRC Genk,2282,Club Brugge,3,Club Brugge,3,1,Playoff_1
1097309,2010,10/11,2011-04-20,20110420,20:30,157,KAA Gent,7,KAA Gent,58,RSC Anderlecht,35,RSC Anderlecht,1,1,Playoff_1
1097310,2010,10/11,2011-04-21,20110421,20:30,3057,Standard Luik,16,Standard Luik,498,KSC Lokeren,282,KSC Lokeren,3,0,Playoff_1
1097493,2010,10/11,2011-04-22,20110422,20:30,3508,Zulte Waregem,5381,SV Zulte Waregem,601,KV Kortrijk,19,KV Kortrijk,2,0,Playoff_2
1097651,2010,10/11,2011-04-23,20110423,20:00,1184,KRC Genk,322,KRC Genk,157,KAA Gent,7,KAA Gent,3,0,Playoff_1
1097495,2010,10/11,2011-04-23,20110423,20:00,204,Lierse SK,30,Lierse SK,475,St-Truidense VV,373,Sint-Truidense VV,1,1,Playoff_2
1097496,2010,10/11,2011-04-23,20110423,20:00,968,KVC Westerlo,2024,KVC Westerlo,566,Germ. Beerschot,3530,Germinal,1,0,Playoff_2
1097494,2010,10/11,2011-04-23,20110423,20:00,520,Cercle Brugge,12,Cercle Brugge,354,KV Mechelen,25,KV Mechelen,3,1,Playoff_2
1097652,2010,10/11,2011-04-24,20110424,18:00,498,KSC Lokeren,282,KSC Lokeren,58,RSC Anderlecht,35,RSC Anderlecht,1,2,Playoff_1
1097653,2010,10/11,2011-04-25,20110425,18:00,2282,Club Brugge,3,Club Brugge,3057,Standard Luik,16,Standard Luik,1,1,Playoff_1
1098116,2010,10/11,2011-04-29,20110429,20:30,3057,Standard Luik,16,Standard Luik,157,KAA Gent,7,KAA Gent,1,0,Playoff_1
1098165,2010,10/11,2011-04-30,20110430,20:00,3508,Zulte Waregem,5381,SV Zulte Waregem,566,Germ. Beerschot,3530,Germinal,1,0,Playoff_2
1098164,2010,10/11,2011-04-30,20110430,20:00,601,KV Kortrijk,19,KV Kortrijk,968,KVC Westerlo,2024,KVC Westerlo,1,1,Playoff_2
1098162,2010,10/11,2011-04-30,20110430,20:00,475,St-Truidense VV,373,Sint-Truidense VV,354,KV Mechelen,25,KV Mechelen,2,1,Playoff_2
1098163,2010,10/11,2011-04-30,20110430,20:00,204,Lierse SK,30,Lierse SK,520,Cercle Brugge,12,Cercle Brugge,3,0,Playoff_2
1098117,2010,10/11,2011-05-01,20110501,18:00,58,RSC Anderlecht,35,RSC Anderlecht,2282,Club Brugge,3,Club Brugge,0,0,Playoff_1
1098118,2010,10/11,2011-05-01,20110501,20:30,498,KSC Lokeren,282,KSC Lokeren,1184,KRC Genk,322,KRC Genk,0,2,Playoff_1
1098150,2010,10/11,2011-05-06,20110506,20:30,1184,KRC Genk,322,KRC Genk,58,RSC Anderlecht,35,RSC Anderlecht,1,0,Playoff_1
1098152,2010,10/11,2011-05-07,20110507,20:00,3057,Standard Luik,16,Standard Luik,2282,Club Brugge,3,Club Brugge,1,0,Playoff_1
1098151,2010,10/11,2011-05-07,20110507,18:00,157,KAA Gent,7,KAA Gent,498,KSC Lokeren,282,KSC Lokeren,2,2,Playoff_1
1098167,2010,10/11,2011-05-07,20110507,20:00,520,Cercle Brugge,12,Cercle Brugge,475,St-Truidense VV,373,Sint-Truidense VV,1,0,Playoff_2
1098169,2010,10/11,2011-05-07,20110507,20:00,566,Germ. Beerschot,3530,Germinal,601,KV Kortrijk,19,KV Kortrijk,0,0,Playoff_2
1098168,2010,10/11,2011-05-07,20110507,20:00,968,KVC Westerlo,2024,KVC Westerlo,3508,Zulte Waregem,5381,SV Zulte Waregem,7,1,Playoff_2
1098166,2010,10/11,2011-05-07,20110507,20:00,354,KV Mechelen,25,KV Mechelen,204,Lierse SK,30,Lierse SK,4,3,Playoff_2
1098153,2010,10/11,2011-05-10,20110510,20:30,2282,Club Brugge,3,Club Brugge,1184,KRC Genk,322,KRC Genk,3,0,Playoff_1
1098154,2010,10/11,2011-05-11,20110511,20:30,58,RSC Anderlecht,35,RSC Anderlecht,157,KAA Gent,7,KAA Gent,4,1,Playoff_1
1098155,2010,10/11,2011-05-11,20110511,20:30,498,KSC Lokeren,282,KSC Lokeren,3057,Standard Luik,16,Standard Luik,0,1,Playoff_1
1102153,2010,10/11,2011-05-13,20110513,20:30,968,KVC Westerlo,2024,KVC Westerlo,520,Cercle Brugge,12,Cercle Brugge,3,0,Playoff_2
1098157,2010,10/11,2011-05-14,20110514,20:00,498,KSC Lokeren,282,KSC Lokeren,2282,Club Brugge,3,Club Brugge,0,1,Playoff_1
1098156,2010,10/11,2011-05-14,20110514,20:00,157,KAA Gent,7,KAA Gent,1184,KRC Genk,322,KRC Genk,2,3,Playoff_1
1098158,2010,10/11,2011-05-14,20110514,20:00,3057,Standard Luik,16,Standard Luik,58,RSC Anderlecht,35,RSC Anderlecht,2,1,Playoff_1
1102154,2010,10/11,2011-05-16,20110516,20:30,520,Cercle Brugge,12,Cercle Brugge,968,KVC Westerlo,2024,KVC Westerlo,2,2,Playoff_2
1098161,2010,10/11,2011-05-17,20110517,20:00,2282,Club Brugge,3,Club Brugge,157,KAA Gent,7,KAA Gent,3,0,Playoff_1
1098160,2010,10/11,2011-05-17,20110517,20:00,58,RSC Anderlecht,35,RSC Anderlecht,498,KSC Lokeren,282,KSC Lokeren,3,4,Playoff_1
1098159,2010,10/11,2011-05-17,20110517,20:00,1184,KRC Genk,322,KRC Genk,3057,Standard Luik,16,Standard Luik,1,1,Playoff_1
2194295,2011,11/12,2012-03-30,20120330,20:30,2282,Club Brugge,3,Club Brugge,1184,KRC Genk,322,KRC Genk,2,0,Playoff_1
2194296,2011,11/12,2012-03-31,20120331,18:00,157,KAA Gent,7,KAA Gent,3057,Standard Luik,16,Standard Luik,3,0,Playoff_1
2194300,2011,11/12,2012-03-31,20120331,20:00,498,KSC Lokeren,282,KSC Lokeren,3508,Zulte Waregem,5381,SV Zulte Waregem,1,1,Playoff_2
2194301,2011,11/12,2012-03-31,20120331,20:00,1411,RAEC Mons,44,RAEC Mons,566,Beerschot AC,3530,Germinal,2,0,Playoff_2
2194298,2011,11/12,2012-03-31,20120331,20:00,2727,OH Leuven,18,Oud-Heverlee Leuven,204,Lierse SK,30,Lierse SK,1,1,Playoff_2
2194299,2011,11/12,2012-03-31,20120331,20:00,354,KV Mechelen,25,KV Mechelen,520,Cercle Brugge,12,Cercle Brugge,0,3,Playoff_2
2194297,2011,11/12,2012-04-01,20120401,18:00,58,RSC Anderlecht,35,RSC Anderlecht,601,KV Kortrijk,19,KV Kortrijk,1,1,Playoff_1
2195210,2011,11/12,2012-04-06,20120406,20:30,3057,Standard Luik,16,Standard Luik,58,RSC Anderlecht,35,RSC Anderlecht,0,0,Playoff_1
2195213,2011,11/12,2012-04-06,20120406,20:30,566,Beerschot AC,3530,Germinal,498,KSC Lokeren,282,KSC Lokeren,4,1,Playoff_2
2195211,2011,11/12,2012-04-07,20120407,18:00,1184,KRC Genk,322,KRC Genk,157,KAA Gent,7,KAA Gent,2,0,Playoff_1
2195215,2011,11/12,2012-04-07,20120407,20:00,3508,Zulte Waregem,5381,SV Zulte Waregem,1411,RAEC Mons,44,RAEC Mons,0,2,Playoff_2
2195214,2011,11/12,2012-04-07,20120407,20:00,520,Cercle Brugge,12,Cercle Brugge,2727,OH Leuven,18,Oud-Heverlee Leuven,6,4,Playoff_2
2195212,2011,11/12,2012-04-08,20120408,18:00,601,KV Kortrijk,19,KV Kortrijk,2282,Club Brugge,3,Club Brugge,3,1,Playoff_1
2195216,2011,11/12,2012-04-09,20120409,18:00,204,Lierse SK,30,Lierse SK,354,KV Mechelen,25,KV Mechelen,2,1,Playoff_2
2197419,2011,11/12,2012-04-11,20120411,20:30,1184,KRC Genk,322,KRC Genk,601,KV Kortrijk,19,KV Kortrijk,2,0,Playoff_1
2197418,2011,11/12,2012-04-11,20120411,20:30,157,KAA Gent,7,KAA Gent,58,RSC Anderlecht,35,RSC Anderlecht,1,4,Playoff_1
2197420,2011,11/12,2012-04-12,20120412,20:30,3057,Standard Luik,16,Standard Luik,2282,Club Brugge,3,Club Brugge,1,1,Playoff_1
2204473,2011,11/12,2012-04-13,20120413,20:30,520,Cercle Brugge,12,Cercle Brugge,204,Lierse SK,30,Lierse SK,0,0,Playoff_2
2197421,2011,11/12,2012-04-14,20120414,20:00,58,RSC Anderlecht,35,RSC Anderlecht,1184,KRC Genk,322,KRC Genk,1,3,Playoff_1
2204475,2011,11/12,2012-04-14,20120414,20:00,1411,RAEC Mons,44,RAEC Mons,498,KSC Lokeren,282,KSC Lokeren,1,1,Playoff_2
2204476,2011,11/12,2012-04-14,20120414,20:00,3508,Zulte Waregem,5381,SV Zulte Waregem,566,Beerschot AC,3530,Germinal,2,0,Playoff_2
2204474,2011,11/12,2012-04-14,20120414,20:00,354,KV Mechelen,25,KV Mechelen,2727,OH Leuven,18,Oud-Heverlee Leuven,2,1,Playoff_2
2197422,2011,11/12,2012-04-15,20120415,18:00,2282,Club Brugge,3,Club Brugge,157,KAA Gent,7,KAA Gent,1,0,Playoff_1
2197423,2011,11/12,2012-04-15,20120415,20:30,601,KV Kortrijk,19,KV Kortrijk,3057,Standard Luik,16,Standard Luik,1,1,Playoff_1
2197424,2011,11/12,2012-04-21,20120421,20:00,601,KV Kortrijk,19,KV Kortrijk,157,KAA Gent,7,KAA Gent,1,4,Playoff_1
2207556,2011,11/12,2012-04-21,20120421,20:00,566,Beerschot AC,3530,Germinal,3508,Zulte Waregem,5381,SV Zulte Waregem,3,1,Playoff_2
2207555,2011,11/12,2012-04-21,20120421,20:00,498,KSC Lokeren,282,KSC Lokeren,1411,RAEC Mons,44,RAEC Mons,1,2,Playoff_2
2207557,2011,11/12,2012-04-21,20120421,17:30,2727,OH Leuven,18,Oud-Heverlee Leuven,354,KV Mechelen,25,KV Mechelen,4,2,Playoff_2
2207558,2011,11/12,2012-04-21,20120421,20:00,204,Lierse SK,30,Lierse SK,520,Cercle Brugge,12,Cercle Brugge,2,2,Playoff_2
2197426,2011,11/12,2012-04-22,20120422,20:30,1184,KRC Genk,322,KRC Genk,3057,Standard Luik,16,Standard Luik,3,2,Playoff_1
2197425,2011,11/12,2012-04-22,20120422,18:00,2282,Club Brugge,3,Club Brugge,58,RSC Anderlecht,35,RSC Anderlecht,0,1,Playoff_1
2197427,2011,11/12,2012-04-27,20120427,20:30,1184,KRC Genk,322,KRC Genk,58,RSC Anderlecht,35,RSC Anderlecht,0,4,Playoff_1
2197429,2011,11/12,2012-04-28,20120428,20:30,3057,Standard Luik,16,Standard Luik,601,KV Kortrijk,19,KV Kortrijk,2,0,Playoff_1
2197428,2011,11/12,2012-04-28,20120428,18:00,157,KAA Gent,7,KAA Gent,2282,Club Brugge,3,Club Brugge,2,1,Playoff_1
2207742,2011,11/12,2012-04-28,20120428,20:00,1411,RAEC Mons,44,RAEC Mons,3508,Zulte Waregem,5381,SV Zulte Waregem,0,1,Playoff_2
2207741,2011,11/12,2012-04-28,20120428,20:00,498,KSC Lokeren,282,KSC Lokeren,566,Beerschot AC,3530,Germinal,3,1,Playoff_2
2207740,2011,11/12,2012-04-28,20120428,20:00,354,KV Mechelen,25,KV Mechelen,204,Lierse SK,30,Lierse SK,1,1,Playoff_2
2207739,2011,11/12,2012-04-28,20120428,20:00,2727,OH Leuven,18,Oud-Heverlee Leuven,520,Cercle Brugge,12,Cercle Brugge,3,2,Playoff_2
2197430,2011,11/12,2012-05-01,20120501,14:30,2282,Club Brugge,3,Club Brugge,3057,Standard Luik,16,Standard Luik,2,0,Playoff_1
2197431,2011,11/12,2012-05-02,20120502,20:00,58,RSC Anderlecht,35,RSC Anderlecht,157,KAA Gent,7,KAA Gent,1,0,Playoff_1
2197432,2011,11/12,2012-05-02,20120502,20:30,601,KV Kortrijk,19,KV Kortrijk,1184,KRC Genk,322,KRC Genk,3,4,Playoff_1
2197433,2011,11/12,2012-05-05,20120505,18:00,157,KAA Gent,7,KAA Gent,601,KV Kortrijk,19,KV Kortrijk,2,3,Playoff_1
2207746,2011,11/12,2012-05-05,20120505,20:00,3508,Zulte Waregem,5381,SV Zulte Waregem,498,KSC Lokeren,282,KSC Lokeren,2,2,Playoff_2
2207745,2011,11/12,2012-05-05,20120505,20:00,566,Beerschot AC,3530,Germinal,1411,RAEC Mons,44,RAEC Mons,1,1,Playoff_2
2207743,2011,11/12,2012-05-05,20120505,20:00,520,Cercle Brugge,12,Cercle Brugge,354,KV Mechelen,25,KV Mechelen,3,1,Playoff_2
2207744,2011,11/12,2012-05-05,20120505,20:00,204,Lierse SK,30,Lierse SK,2727,OH Leuven,18,Oud-Heverlee Leuven,1,2,Playoff_2
2197434,2011,11/12,2012-05-06,20120506,14:30,58,RSC Anderlecht,35,RSC Anderlecht,2282,Club Brugge,3,Club Brugge,1,1,Playoff_1
2197435,2011,11/12,2012-05-06,20120506,18:00,3057,Standard Luik,16,Standard Luik,1184,KRC Genk,322,KRC Genk,2,3,Playoff_1
2197438,2011,11/12,2012-05-10,20120510,20:30,3057,Standard Luik,16,Standard Luik,157,KAA Gent,7,KAA Gent,2,1,Playoff_1
2197436,2011,11/12,2012-05-10,20120510,20:30,1184,KRC Genk,322,KRC Genk,2282,Club Brugge,3,Club Brugge,1,2,Playoff_1
2197437,2011,11/12,2012-05-10,20120510,20:30,601,KV Kortrijk,19,KV Kortrijk,58,RSC Anderlecht,35,RSC Anderlecht,2,0,Playoff_1
2197439,2011,11/12,2012-05-13,20120513,14:30,2282,Club Brugge,3,Club Brugge,601,KV Kortrijk,19,KV Kortrijk,3,2,Playoff_1
2197440,2011,11/12,2012-05-13,20120513,14:30,157,KAA Gent,7,KAA Gent,1184,KRC Genk,322,KRC Genk,3,1,Playoff_1
2197441,2011,11/12,2012-05-13,20120513,14:30,58,RSC Anderlecht,35,RSC Anderlecht,3057,Standard Luik,16,Standard Luik,3,0,Playoff_1
2305819,2012,12/13,2013-03-30,20130330,20:00,3508,Zulte Waregem,5381,SV Zulte Waregem,498,KSC Lokeren,282,KSC Lokeren,1,1,Playoff_1
2305906,2012,12/13,2013-03-30,20130330,20:00,204,Lierse SK,30,Lierse SK,601,KV Kortrijk,19,KV Kortrijk,0,0,Playoff_2
2305908,2012,12/13,2013-03-30,20130330,20:00,354,KV Mechelen,25,KV Mechelen,172,R Charleroi SC,22,R Charleroi SC,0,0,Playoff_2
2305905,2012,12/13,2013-03-30,20130330,18:00,157,KAA Gent,7,KAA Gent,1411,RAEC Mons,44,RAEC Mons,2,1,Playoff_2
2305907,2012,12/13,2013-03-30,20130330,20:00,2727,OH Leuven,18,Oud-Heverlee Leuven,28643,Waasland-Beveren,4068,Waasland-Beveren,3,1,Playoff_2
