Seizoen,Speeldag,Stand,Stamnummer,Roepnaam,AantalGespeeld,AantalGewonnen,AantalGelijk,AantalVerloren,DoelpuntenVoor,DoelpuntenTegen,Doelpuntensaldo,Links_Tweepuntensysteem,Rechts_Tweepuntensysteem,Driepuntensysteem
1960,19,15,33,Verviétois,19,2,5,12,15,39,-24,225,12125,2225
1960,19,16,3434,Patro Eisden,19,2,4,13,12,36,-24,224,13134,2224
1960,20,1,16,Standard Luik,20,11,6,3,41,21,20,11116,336,1111116
1960,20,2,35,RSC Anderlecht,20,10,6,4,41,21,20,10106,446,1010106
1960,20,3,4,RFC Luik,20,8,10,2,32,17,15,8810,2210,88810
1960,20,4,2,Daring Club Brussel,20,10,5,5,32,24,8,10105,555,1010105
1960,20,5,13,Beerschot,20,10,4,6,36,27,9,10104,664,1010104
1960,20,6,553,Waterschei SV Thor,20,10,2,8,41,29,12,10102,882,1010102
1960,20,7,90,Eendracht Aalst,20,9,4,7,36,45,-9,994,774,9994
1960,20,8,3,Club Brugge,20,6,8,6,29,27,2,668,668,6668
1960,20,9,30,Lierse SK,20,8,4,8,26,34,-8,884,884,8884
1960,20,10,1,Royal Antwerp FC,20,7,5,8,34,31,3,775,885,7775
1960,20,11,7,KAA Gent,20,6,6,8,31,27,4,666,886,6666
1960,20,12,373,Sint-Truidense VV,20,7,4,9,17,26,-9,774,994,7774
1960,20,13,10,Union Saint-Gilloise,20,8,1,11,30,37,-7,881,11111,8881
1960,20,14,246,Olympic Charleroi,20,4,9,7,17,28,-11,449,779,4449
1960,20,15,33,Verviétois,20,2,6,12,18,42,-24,226,12126,2226
1960,20,16,3434,Patro Eisden,20,2,4,14,12,37,-25,224,14144,2224
1960,21,1,16,Standard Luik,21,12,6,3,43,21,22,12126,336,1212126
1960,21,2,35,RSC Anderlecht,21,11,6,4,43,22,21,11116,446,1111116
1960,21,3,4,RFC Luik,21,8,10,3,32,19,13,8810,3310,88810
1960,21,4,2,Daring Club Brussel,21,10,6,5,33,25,8,10106,556,1010106
1960,21,5,13,Beerschot,21,10,4,7,38,30,8,10104,774,1010104
1960,21,6,90,Eendracht Aalst,21,9,5,7,38,47,-9,995,775,9995
1960,21,7,553,Waterschei SV Thor,21,10,2,9,43,33,10,10102,992,1010102
1960,21,8,3,Club Brugge,21,7,8,6,32,29,3,778,668,7778
1960,21,9,7,KAA Gent,21,7,6,8,35,29,6,776,886,7776
1960,21,10,30,Lierse SK,21,8,4,9,27,36,-9,884,994,8884
1960,21,11,1,Royal Antwerp FC,21,7,5,9,34,33,1,775,995,7775
1960,21,12,10,Union Saint-Gilloise,21,9,1,11,31,37,-6,991,11111,9991
1960,21,13,373,Sint-Truidense VV,21,7,5,9,19,28,-9,775,995,7775
1960,21,14,246,Olympic Charleroi,21,4,10,7,18,29,-11,4410,7710,44410
1960,21,15,3434,Patro Eisden,21,3,4,14,14,37,-23,334,14144,3334
1960,21,16,33,Verviétois,21,2,6,13,18,43,-25,226,13136,2226
1960,22,1,16,Standard Luik,22,12,7,3,44,22,22,12127,337,1212127
1960,22,2,35,RSC Anderlecht,22,11,7,4,44,23,21,11117,447,1111117
1960,22,3,4,RFC Luik,22,9,10,3,33,19,14,9910,3310,99910
1960,22,4,13,Beerschot,22,11,4,7,40,31,9,11114,774,1111114
1960,22,5,2,Daring Club Brussel,22,10,6,6,34,27,7,10106,666,1010106
