Seizoen,Speeldag,Roepnaam,AantalFouten,FoutType
1960.0,24,KAA Gent,1,AantalGespeeldCorrect
1960.0,24,Lierse SK,1,AantalGespeeldCorrect
1960.0,24,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,24,Patro Eisden,1,AantalGespeeldCorrect
1960.0,24,RFC Luik,1,AantalGespeeldCorrect
1960.0,24,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,24,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,24,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,24,Standard Luik,1,AantalGespeeldCorrect
1960.0,24,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,24,Verviétois,1,AantalGespeeldCorrect
1960.0,24,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,25,Beerschot,1,AantalGespeeldCorrect
1960.0,25,Club Brugge,1,AantalGespeeldCorrect
1960.0,25,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,25,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,25,KAA Gent,1,AantalGespeeldCorrect
1960.0,25,Lierse SK,1,AantalGespeeldCorrect
1960.0,25,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,25,Patro Eisden,1,AantalGespeeldCorrect
1960.0,25,RFC Luik,1,AantalGespeeldCorrect
1960.0,25,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,25,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,25,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,25,Standard Luik,1,AantalGespeeldCorrect
1960.0,25,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,25,Verviétois,1,AantalGespeeldCorrect
1960.0,25,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,26,Beerschot,1,AantalGespeeldCorrect
1960.0,26,Club Brugge,1,AantalGespeeldCorrect
1960.0,26,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,26,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,26,KAA Gent,1,AantalGespeeldCorrect
1960.0,26,Lierse SK,1,AantalGespeeldCorrect
1960.0,26,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,26,Patro Eisden,1,AantalGespeeldCorrect
1960.0,26,RFC Luik,1,AantalGespeeldCorrect
1960.0,26,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,26,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,26,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,26,Standard Luik,1,AantalGespeeldCorrect
1960.0,26,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,26,Verviétois,1,AantalGespeeldCorrect
1960.0,26,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,27,Beerschot,1,AantalGespeeldCorrect
1960.0,27,Club Brugge,1,AantalGespeeldCorrect
1960.0,27,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,27,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,27,KAA Gent,1,AantalGespeeldCorrect
1960.0,27,Lierse SK,1,AantalGespeeldCorrect
1960.0,27,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,27,Patro Eisden,1,AantalGespeeldCorrect
1960.0,27,RFC Luik,1,AantalGespeeldCorrect
1960.0,27,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,27,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,27,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,27,Standard Luik,1,AantalGespeeldCorrect
1960.0,27,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,27,Verviétois,1,AantalGespeeldCorrect
1960.0,27,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,28,Beerschot,1,AantalGespeeldCorrect
1960.0,28,Club Brugge,1,AantalGespeeldCorrect
1960.0,28,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,28,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,28,KAA Gent,1,AantalGespeeldCorrect
1960.0,28,Lierse SK,1,AantalGespeeldCorrect
1960.0,28,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,28,Patro Eisden,1,AantalGespeeldCorrect
1960.0,28,RFC Luik,1,AantalGespeeldCorrect
1960.0,28,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,28,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,28,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,28,Standard Luik,1,AantalGespeeldCorrect
1960.0,28,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,28,Verviétois,1,AantalGespeeldCorrect
1960.0,28,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,29,Beerschot,1,AantalGespeeldCorrect
1960.0,29,Club Brugge,1,AantalGespeeldCorrect
1960.0,29,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,29,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,29,KAA Gent,1,AantalGespeeldCorrect
1960.0,29,Lierse SK,1,AantalGespeeldCorrect
1960.0,29,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,29,Patro Eisden,1,AantalGespeeldCorrect
1960.0,29,RFC Luik,1,AantalGespeeldCorrect
1960.0,29,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,29,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,29,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,29,Standard Luik,1,AantalGespeeldCorrect
1960.0,29,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,29,Verviétois,1,AantalGespeeldCorrect
1960.0,29,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,3,Beerschot,1,AantalGespeeldCorrect
1960.0,3,Club Brugge,1,AantalGespeeldCorrect
1960.0,3,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,3,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,3,KAA Gent,1,AantalGespeeldCorrect
1960.0,3,Lierse SK,1,AantalGespeeldCorrect
1960.0,3,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,3,Patro Eisden,1,AantalGespeeldCorrect
1960.0,3,RFC Luik,1,AantalGespeeldCorrect
1960.0,3,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,3,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,3,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,3,Standard Luik,1,AantalGespeeldCorrect
1960.0,3,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,3,Verviétois,1,AantalGespeeldCorrect
1960.0,3,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,30,Beerschot,1,AantalGespeeldCorrect
1960.0,30,Club Brugge,1,AantalGespeeldCorrect
1960.0,30,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,30,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,30,KAA Gent,1,AantalGespeeldCorrect
1960.0,30,Lierse SK,1,AantalGespeeldCorrect
1960.0,30,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,30,Patro Eisden,1,AantalGespeeldCorrect
1960.0,30,RFC Luik,1,AantalGespeeldCorrect
1960.0,30,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,30,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,30,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,30,Standard Luik,1,AantalGespeeldCorrect
1960.0,30,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,30,Verviétois,1,AantalGespeeldCorrect
1960.0,30,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,4,Beerschot,1,AantalGespeeldCorrect
1960.0,4,Club Brugge,1,AantalGespeeldCorrect
1960.0,4,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,4,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,4,KAA Gent,1,AantalGespeeldCorrect
1960.0,4,Lierse SK,1,AantalGespeeldCorrect
1960.0,4,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,4,Patro Eisden,1,AantalGespeeldCorrect
1960.0,4,RFC Luik,1,AantalGespeeldCorrect
1960.0,4,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,4,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,4,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,4,Standard Luik,1,AantalGespeeldCorrect
1960.0,4,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,4,Verviétois,1,AantalGespeeldCorrect
1960.0,4,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,5,Beerschot,1,AantalGespeeldCorrect
1960.0,5,Club Brugge,1,AantalGespeeldCorrect
1960.0,5,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,5,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,5,KAA Gent,1,AantalGespeeldCorrect
1960.0,5,Lierse SK,1,AantalGespeeldCorrect
1960.0,5,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,5,Patro Eisden,1,AantalGespeeldCorrect
1960.0,5,RFC Luik,1,AantalGespeeldCorrect
1960.0,5,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,5,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,5,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,5,Standard Luik,1,AantalGespeeldCorrect
1960.0,5,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,5,Verviétois,1,AantalGespeeldCorrect
1960.0,5,Waterschei SV Thor,1,AantalGespeeldCorrect
